Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0402_1005Metric",254.196850,-78.333600,90.000000,bottom
"C2","10u","C_0402_1005Metric",258.921250,-78.333600,90.000000,bottom
"C3","1u","C_0402_1005Metric",247.142000,-92.100400,90.000000,bottom
"C4","10u","C_0402_1005Metric",245.186200,-92.100400,90.000000,bottom
"C5","1u","C_0402_1005Metric",246.157750,-90.043000,-90.000000,bottom
"C6","30p","C_0402_1005Metric",237.794800,-100.126800,45.000000,bottom
"C7","100n","C_0402_1005Metric",247.142000,-90.043000,-90.000000,bottom
"C8","100n","C_0402_1005Metric",245.186200,-90.043000,-90.000000,bottom
"C13","0.1uF","C_0603_1608Metric",230.124000,-98.425000,180.000000,bottom
"C14","0.1uF","C_0603_1608Metric",230.124000,-96.901000,180.000000,bottom
"C15","0.1uF","C_0603_1608Metric",252.850650,-78.333600,90.000000,bottom
"C16","0.1uF","C_0603_1608Metric",248.202450,-78.333600,90.000000,bottom
"C17","0.1uF","C_0603_1608Metric",251.301250,-78.333600,90.000000,bottom
"C18","0.1uF","C_0603_1608Metric",230.124000,-99.949000,180.000000,bottom
"C19","0.1uF","C_0603_1608Metric",249.751850,-78.333600,90.000000,bottom
"C20","0.1uF","C_0603_1608Metric",246.329200,-78.346000,90.000000,bottom
"C21","100n","C_0402_1005Metric",262.763000,-79.108600,90.000000,bottom
"C22","100n","C_0402_1005Metric",260.477000,-79.108600,90.000000,bottom
"C23","100n","C_0402_1005Metric",261.594600,-79.108600,90.000000,bottom
"C25","100n","C_0402_1005Metric",251.231400,-91.973400,90.000000,bottom
"C26","100n","C_0402_1005Metric",250.215400,-91.973400,90.000000,bottom
"C27","30p","C_0402_1005Metric",241.534835,-103.866835,45.000000,bottom
"C28","100n","C_0402_1005Metric",259.130800,-95.326200,0.000000,bottom
"D1","BAV70","SOT-23",108.077000,-77.724000,45.000000,bottom
"D2","BAV70","SOT-23",105.568750,-75.184000,45.000000,bottom
"D3","BAV70","SOT-23",184.277000,-77.724000,45.000000,bottom
"D4","BAV70","SOT-23",181.737000,-75.184000,45.000000,bottom
"D5","BAV70","SOT-23",219.862400,-75.184000,45.000000,bottom
"D6","BAV70","SOT-23",222.402400,-77.724000,45.000000,bottom
"D7","BAV70","SOT-23",110.693200,-80.365600,45.000000,bottom
"D8","BAV70","SOT-23",113.233200,-82.905600,45.000000,bottom
"D9","BAV70","SOT-23",122.377200,-114.554000,45.000000,bottom
"D10","BAV70","SOT-23",119.837200,-112.014000,45.000000,bottom
"D11","BAV70","SOT-23",198.577200,-114.554000,45.000000,bottom
"D12","BAV70","SOT-23",196.037200,-112.014000,45.000000,bottom
"D13","BAV70","SOT-23",186.893200,-80.365600,45.000000,bottom
"D14","BAV70","SOT-23",189.458600,-82.905600,45.000000,bottom
"D15","BAV70","SOT-23",225.044000,-80.416400,45.000000,bottom
"D16","BAV70","SOT-23",234.188000,-112.014000,45.000000,bottom
"D17","BAV70","SOT-23",236.728000,-114.554000,45.000000,bottom
"D18","BAV70","SOT-23",227.584000,-82.956400,45.000000,bottom
"D19","BAV70","SOT-23",125.323600,-117.500400,45.000000,bottom
"D20","BAV70","SOT-23",127.863600,-120.040400,45.000000,bottom
"D21","BAV70","SOT-23",204.063600,-120.040400,45.000000,bottom
"D22","BAV70","SOT-23",201.523600,-117.500400,45.000000,bottom
"D59","WS2812B","WS2812B_data-bridgeable",215.106250,-98.425000,-90.000000,bottom
"D60","WS2812B","WS2812B_data-bridgeable",196.056250,-98.425000,-90.000000,bottom
"D61","WS2812B","WS2812B_data-bridgeable",177.006250,-98.406000,-90.000000,bottom
"D62","WS2812B","WS2812B_data-bridgeable",157.956250,-98.418600,-90.000000,bottom
"D63","WS2812B","WS2812B_data-bridgeable",138.906250,-98.418600,-90.000000,bottom
"D64","WS2812B","WS2812B_data-bridgeable",62.706250,-98.425000,-90.000000,bottom
"D65","WS2812B","WS2812B_data-bridgeable",81.756250,-98.425000,-90.000000,bottom
"D66","WS2812B","WS2812B_data-bridgeable",100.806250,-98.425000,-90.000000,bottom
"D67","WS2812B","WS2812B_data-bridgeable",119.856250,-98.418600,-90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",242.480250,-76.911200,180.000000,bottom
"J1","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",37.866400,-100.761800,-90.000000,bottom
"J2","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",37.866400,-96.418400,-90.000000,bottom
"J3","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",37.866400,-98.577400,-90.000000,bottom
